surface_name	site_name	species_name	formation_energy	frequencies	other_parameters	reference	
55Cu	211	CH	-0.541	[26.9, 462.3, 492.9, 676.2, 681.7, 2991.4]	[]	Ang	
55Cu	211	CH2	-0.679	[175.2, 227.6, 371.8, 395.6, 478.0, 641.9, 1281.4, 2884.6, 2964.0]	[]	Ang	
55Cu	211	CH3	-1.796	[12, 36.6, 86.4, 447.6, 595.2, 609.3, 1069.6, 1380.0, 1396.2, 2940.1, 3036.3, 3044.4]	[]	Ang	
55Cu	211	CH4	-2.768	[12, 12, 12, 55.6, 62.1, 1286.5, 1289.3, 1290.1, 1507.2, 1509.0, 2954.0, 3070.0, 3071.7, 3072.9]	[]	Ang	
55Cu	211	H	-0.114	[354.2, 939.7, 1271.5]	[]	Ang	
55Cu	211	H2O	-0.219	[12, 43.1, 89.8, 193.1, 399.5, 454.5, 1582.5, 3639.8, 3751.2]	[]	Ang	
55Cu	211	#COH	0.55	[12, 171.6, 316.6, 338.6, 504.2, 560.7, 1133.9, 1262.7, 3549.1]	[]	Ang	
55Cu	211	CH2O	-0.413	[57.0, 85.2, 141.9, 270.9, 341.8, 478.6, 868.6, 1149.4, 1212.5, 1454.2, 2847.5, 2922.1]	[]	Ang	
55Cu	211	CH3O	-1.438	[12, 38.1, 40.0, 104.5, 275.6, 349.1, 1016.8, 1110.8, 1131.6, 1413.7, 1439.8, 1442.7, 2893.7, 2953.5, 2970.0]	[]	Ang	
55Cu	211	O	0.591	[303.8, 361.4, 474.8]	[]	Ang	
55Cu	211	OH	0.004	[78.8, 242.2, 391.2, 520.9, 649.0, 3703.8]	[]	Ang	
55Cu	211	HCOO	-1.354	[18.1, 71.3, 100.2, 261.2, 295.6, 328.1, 729.4, 986.6, 1291.7, 1326.2, 1520.8, 2922.6]	[]	Ang	
55Cu	211	#C	0.62	[407.5, 482.7, 546.8]	[]	Ang	
55Cu	211	H2COO	0.063	[116.7, 174.4, 243.2, 274.9, 334.9, 344.6, 571.0, 879.0, 964.8, 1070.4, 1188.2, 1320.9, 1445.3, 2866.3, 2901.8]	[]	Ang	
