surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
Au	211	H-OH	1.82	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Re	211	O-H	-0.791	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Mn	211	O-H	-0.686	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Fe	211	O-H	-0.351	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ru	211	O-H	0.267	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Co	211	O-H	0.444	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ir	211	O-H	0.596	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ni	211	O-H	0.678	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Rh	211	O-H	0.729	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pt	211	O-H	1.6	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Cu	211	O-H	1.628	fcc	[188.2,293.4,421.3,583.5,1071]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pd	211	O-H	1.753	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ag	211	O-H	2.801	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Au	211	O-H	3.175	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ag	211	C-OH	6.542	fcc	[]	[]	Methanation
Cu	211	C-OH	4.735	fcc	[184.8,247.9,317.1,420.8,452.6,564.6,582.4,3673]	[]	Methanation
Pd	211	C-OH	2.346	fcc	[]	[]	Methanation
Pt	211	C-OH	2.977	fcc	[]	[]	Methanation
Rh	211	C-OH	1.990	fcc	[]	[]	Methanation
Ag	211	O-H2O	1.861	fcc	[]	[]	Methanation
Cu	211	O-H2O	0.924	fcc	[49.8,109.5,233.3,302,425.5,427.4,629,683.9,1339.8,1496.1,3870.9]	[]	Methanation
Pd	211	O-H2O	1.829	fcc	[]	[]	Methanation
Pt	211	O-H2O	1.557	fcc	[]	[]	Methanation
Rh	211	O-H2O	0.454	fcc	[]	[]	Methanation
Au	211	O-H2O	2.903	fcc	[]	[]	Methanation
Ni	211	O-H2O	0.325	fcc	[]	[]	Methanation
Ir	211	O-H2O	0.37	fcc	[]	[]	Methanation
Ru	211	O-H2O	-0.102	fcc	[]	[]	Methanation

Ag	211	H-CO	3.696	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Cu	211	H-CO	3.108	fcc	[1871, 1652, 499, 413, 36, 148, 193, 220]	[]	J. Catal. 293, 51-60 (2012)
Pd	211	H-CO	1.968	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Pt	211	H-CO	1.848	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Rh	211	H-CO	1.821	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Au	211	H-CO	3.3	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Ag	211	H-HCO	3.739	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Cu	211	H-HCO	3.199	fcc	[2918, 1658, 1558, 1185, 871, 699, 376, 188, 175, 36, 52]	[]	J. Catal. 293, 51-60 (2012)
Pd	211	H-HCO	2.474	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Pt	211	H-HCO	2.123	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Rh	211	H-HCO	1.847	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Ag	211	H-CH2O	3.072	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Cu	211	H-CH2O	2.559	fcc	[3037, 2956, 1492, 1438, 1333, 1171, 1086, 816, 336, 296, 195, 105, 99, 45]	[]	J. Catal. 293, 51-60 (2012)
Pd	211	H-CH2O	2.399	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Pt	211	H-CH2O	2.148	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Rh	211	H-CH2O	1.715	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Ag	211	CH3O-H	2.983	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Cu	211	CH3O-H	2.551	fcc	[2955, 3032, 3023, 1403, 1425, 1449, 1125, 1132, 1000, 997, 738, 292, 259, 138, 83, 80, 30]	[]	J. Catal. 293, 51-60 (2012)
Pd	211	CH3O-H	2.415	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Pt	211	CH3O-H	2.123	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Rh	211	CH3O-H	1.846	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Au	211	CH3O-H	3.02	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Ru	211	CH3O-H	1.63	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Ni	211	CH3O-H	1.869	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Ir	211	CH3O-H	1.538	fcc	[]	[]	J. Catal. 293, 51-60 (2012)

Ni	211	C-CO	4.02	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Rh	211	C-CO	3.83	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Ir	211	C-CO	3.85	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Pd	211	C-CO	4.28	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Pt	211	C-CO	4.35	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Cu	211	C-CO	6.69	fcc	[2011,527,460,360,113,54,257,261]	[]	"Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Ag	211	C-CO	8.20	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Au	211	C-CO	7.44	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Rh	211	CH-CO	3.37	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Pd	211	CH-CO	4.00	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Cu	211	CH-CO	5.95	fcc	[3088,2053,919,594,482,462,284,231,24,92,73]	[]	"Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Ag	211	CH-CO	7.37	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Au	211	CH-CO	6.92	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Rh	211	CH2-CO	3.69	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Pd	211	CH2-CO	3.96	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Cu	211	CH2-CO	4.97	fcc	[3066,2967,1874,1300,889,808,551,459,331,275,226,88,160,152]	[]	"Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Ag	211	CH2-CO	6.11	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Au	211	CH2-CO	6.06	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Rh	211	CH3-CO	2.65	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Pd	211	CH3-CO	2.83	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Cu	211	CH3-CO	4.40	fcc	[3059,3233,3217,1896,1384,1379,972,692,630,371,319,199,144,133,53,45,12]	[]	"Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Ag	211	CH3-CO	5.04	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Au	211	CH3-CO	4.55	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011) Corrected for coverage
Ru	211	O-CH	2.588	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Rh	211	O-CH	3.288	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Pt	211	O-CH	4.768	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Cu	211	O-CH	5.088	fcc	[3076,950,687,155,328,402,373,417]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Ag	211	O-CH	6.968	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Au	211	O-CH	7.288	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Ag	211	O-CH2	6.134	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Cu	211	O-CH2	4.8	fcc	[3038,2975,1300,671,140,209,401,285,305,341,332]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Pd	211	O-CH2	4.754	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Pt	211	O-CH2	3.723	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Rh	211	O-CH2	3.189	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Ag	211	O-CH3	4.23	fcc	[3151,3107,2982,1389,1373,1093,693,660,303,227,197,12,12,114]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Cu	211	O-CH3	3.152	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Pd	211	O-CH3	3.516	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Pt	211	O-CH3	3.173	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Rh	211	O-CH3	2.35	fcc	[]	[]	Catal. Lett. 141, 3, 370-373 (2011)
Cu	211	CH3CHO	2.5891943527	fcc	[12,12, 18, 38, 49, 68, 172, 497, 749, 875, 1088,1101, 1329, 1370, 1409, 1415, 1779, 2826, 2985, 3046, 3109]	[]	This work
Cu	211	CH3COH	3.3684	fcc	[12,12,60, 97, 195, 235, 346, 517, 679, 909, 966, 1002,1258, 1314, 1330, 1417, 1418, 2966, 3028, 3128, 3573]	[]	This work
Cu	211	CH3CHOH	3.02640814039	fcc	[13, 29, 55, 150, 163, 242, 347, 392, 434,845, 891, 994, 1053, 1127, 1225, 1333, 1361, 1420, 1436, 2948, 2955, 3024,3093, 3816]	[]	This work
Cu	211	CH2CH2OH	3.07159705661	fcc	[12,29, 46, 105, 123, 242, 286, 531, 584,838, 936, 980, 1009, 1099, 1229, 1282, 1348, 1402, 1438, 2875, 2997, 3046,3067, 3836]	[]	This work
Cu	211	CH2CHOH	3.11971365832	fcc	[12,12,24, 38, 83, 169, 383, 470, 700, 812, 918, 943, 1126, 1239, 1293, 1389, 1624, 3098, 3131, 3235, 3812]	[]	This work
Cu	211	CHCHOH	3.4578620929	fcc	[12,30, 157, 203, 257, 277, 452, 612, 799,947, 1061, 1108, 1243, 1329, 1557, 3062, 3081, 3824]	[]	This work
Cu	211	CH2COH	3.64612604416	fcc	[53, 89, 162, 201, 242, 343, 480, 525,719, 838, 935, 1114, 1199, 1351, 1485, 3075, 3190, 3748]	[]	This work
Cu	211	CHCO	3.66091376748	fcc	[25, 48, 115, 261, 333, 532, 568, 587,942, 1193, 2175, 3140]	[]	This work
Cu	211	CHCHO	3.75223224262	fcc	[90, 101, 238, 262, 329, 396, 682, 748,923, 1004, 1211, 1300, 1445, 2946, 3083]	[]	This work
Cu	211	CHCH2OH	3.99042766284	fcc	[16, 61, 120, 147, 290, 324, 373, 554,629, 841, 880, 1053, 1110, 1154, 1277, 1330, 1406, 2878, 2971, 3017, 3718]	[]	This work
Cu	211	CH2CO	3.99483581325	fcc	[12, 60, 117, 153, 281, 392, 439, 616,789, 969, 1017, 1371, 1801, 3042, 3158]	[]	This work
Cu	211	CCHOH	4.33918454851	fcc	[30, 70, 157, 222, 320, 349, 599, 616,861, 1098, 1201, 1304, 1524, 3118, 3676]	[]	This work
Cu	211	CCO	4.36457080399	fcc	[53, 64, 202, 274, 302, 548, 565, 1207, 2124]	[]	This work
Cu	211	CCH2OH	4.53426452772	fcc	[73, 117, 155, 205, 301, 367, 435, 571, 880, 914, 958, 1123, 1274, 1320, 1424, 2957, 3038, 3705]	[]	This work
Cu	211	CCHO	4.70295038823	fcc	[75, 139, 162, 191, 251, 356, 627, 923, 1140, 1296, 1455, 2940]	[]	This work
Cu	211	CHCOH	4.71064595743	fcc	[68, 143, 173, 220, 325, 336, 473, 624, 805, 1021, 1093, 1188, 1353, 2983, 3825]	[]	This work
