surface_name	site_name	species_name	formation_energy	frequencies	reference	ensemble_path
Cu	111	CHO	0.09956888	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Cu/CHO.pkl
Cu	111	CHOH	0.54210426	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Cu/CHOH.pkl
Cu	111	CO	-0.4776168	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Cu/CO.pkl
Cu	111	CO-H	1.82138678	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/CO-H.pkl
Cu	111	CO-H-ele	0.7323832	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/CO-H-ele.pkl
Cu	111	COH	0.83001418	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Cu/COH.pkl
Cu	111	COH-H-ele	2.48001418	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/H-CO-ele.pkl
Cu	111	H	0.13310378	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Cu/H.pkl
Cu	111	H-CO	0.54528548	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/H-CO.pkl
Cu	111	H-CO-ele	0.8623832	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/H-CO-ele.pkl
Cu	111	H-H	0.74620756	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/H-H.pkl
Cu	111	H-ele	0.97	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/H-ele.pkl
Cu	111	H2-ele	0.82310378	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Cu/H2-ele.pkl
Cu	111	OH	-0.19414898	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Cu/OH.pkl
Cu	211	CH	0.26276514	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/CH.pkl
Cu	211	CH-H	0.66145152	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/CH-H.pkl
Cu	211	CH2	-0.58333808	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/CH2.pkl
Cu	211	CH2-H	-0.2806259	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/CH2-H.pkl
Cu	211	CH3	-1.5124993	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/CH3.pkl
Cu	211	CH3-H	-0.89864102	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/CH3-H.pkl
Cu	211	CHO	-0.35755172	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/CHO.pkl
Cu	211	CHOH	-0.19491374	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/CHOH.pkl
Cu	211	CO	-0.7506798	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/CO.pkl
Cu	211	CO-H	1.87963708	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/CO-H.pkl
Cu	211	CO-H-ele	0.5593202	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/CO-H-ele.pkl
Cu	211	COH	0.76524508	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/COH.pkl
Cu	211	COH-H-ele	1.67524508	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/H-CO-ele.pkl
Cu	211	H	-0.00104092	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/H.pkl
Cu	211	H-CO	0.40159978	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/H-CO.pkl
Cu	211	H-CO-ele	0.1593202	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/H-CO-ele.pkl
Cu	211	H-H	0.75791816	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/H-H.pkl
Cu	211	H-ele	0.71	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/H-ele.pkl
Cu	211	H2-ele	0.72895908	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Cu/H2-ele.pkl
Cu	211	OH	-0.66116238	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Cu/OH.pkl
Pt	111	CH	-1.48925636	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/CH.pkl
